name,emoji,group,subgroup,keywords,aliases
grinning face,😀,Smileys & People,face-positive,"face, grin, grinning face, smile, happy","grinning, grinning face"
beaming face with smiling eyes,😁,Smileys & People,face-positive,"beaming face with smiling eyes, eye, face, grin, smile","grin, beaming face with smiling eyes"
face with tears of joy,😂,Smileys & People,face-positive,"face, face with tears of joy, joy, laugh, tear, tears","joy, face with tears of joy"
rolling on the floor laughing,🤣,Smileys & People,face-positive,"face, floor, laugh, rolling, rolling on the floor laughing, lol, laughing","rofl, rolling on the floor laughing"
grinning face with big eyes,😃,Smileys & People,face-positive,"face, grinning face with big eyes, mouth, open, smile, happy, joy, haha","smiley, grinning face with big eyes"
grinning face with smiling eyes,😄,Smileys & People,face-positive,"eye, face, grinning face with smiling eyes, mouth, open, smile, happy, joy, laugh, pleased","smile, grinning face with smiling eyes"
grinning face with sweat,😅,Smileys & People,face-positive,"cold, face, grinning face with sweat, open, smile, sweat, hot","sweat smile, grinning face with sweat"
grinning squinting face,😆,Smileys & People,face-positive,"face, grinning squinting face, laugh, mouth, open, satisfied, smile, happy, haha","laughing, satisfied, grinning squinting face"
winking face,😉,Smileys & People,face-positive,"face, wink, winking face, flirt","wink, winking face"
smiling face with smiling eyes,😊,Smileys & People,face-positive,"blush, eye, face, smile, smiling face with smiling eyes, proud","blush, smiling face with smiling eyes"
face savoring food,😋,Smileys & People,face-positive,"delicious, face, face savoring food, savouring, smile, um, yum, tongue, lick","yum, face savoring food"
smiling face with sunglasses,😎,Smileys & People,face-positive,"bright, cool, eye, eyewear, face, glasses, smile, smiling face with sunglasses, sun, sunglasses, cool","sunglasses, smiling face with sunglasses"
smiling face with heart-eyes,😍,Smileys & People,face-positive,"eye, face, love, smile, smiling face with heart-eyes, love, crush","heart eyes, smiling face with heart eyes"
face blowing a kiss,😘,Smileys & People,face-positive,"face, face blowing a kiss, kiss, flirt","kissing heart, face blowing a kiss"
smiling face with 3 hearts,🥰,Smileys & People,face-positive,"adore, crush, in love",smiling face with 3 hearts
kissing face,😗,Smileys & People,face-positive,"face, kiss, kissing face","kissing, kissing face"
kissing face with smiling eyes,😙,Smileys & People,face-positive,"eye, face, kiss, kissing face with smiling eyes, smile","kissing smiling eyes, kissing face with smiling eyes"
kissing face with closed eyes,😚,Smileys & People,face-positive,"closed, eye, face, kiss, kissing face with closed eyes","kissing closed eyes, kissing face with closed eyes"
smiling face,☺️,Smileys & People,face-positive,"blush, pleased","relaxed, smiling face"
smiling face,☺,Smileys & People,face-positive,"face, outlined, relaxed, smile, smiling face",smiling face
slightly smiling face,🙂,Smileys & People,face-positive,"face, slightly smiling face, smile",slightly smiling face
hugging face,🤗,Smileys & People,face-positive,"face, hug, hugging","hugs, hugging face"
star-struck,🤩,Smileys & People,face-positive,"eyes, face, grinning, star, star-struck, starry-eyed",star struck
thinking face,🤔,Smileys & People,face-neutral,"face, thinking","thinking, thinking face"
face with raised eyebrow,🤨,Smileys & People,face-neutral,"distrust, face with raised eyebrow, skeptic, disapproval, disbelief, mild surprise, scepticism","face with raised eyebrow, raised eyebrow"
neutral face,😐,Smileys & People,face-neutral,"deadpan, face, neutral, meh",neutral face
expressionless face,😑,Smileys & People,face-neutral,"expressionless, face, inexpressive, unexpressive","expressionless, expressionless face"
face without mouth,😶,Smileys & People,face-neutral,"face, face without mouth, mouth, quiet, silent, mute, silence","no mouth, face without mouth"
face with rolling eyes,🙄,Smileys & People,face-neutral,"eyes, face, face with rolling eyes, rolling","roll eyes, face with rolling eyes"
smirking face,😏,Smileys & People,face-neutral,"face, smirk, smirking face, smug","smirk, smirking face"
persevering face,😣,Smileys & People,face-neutral,"face, persevere, persevering face, struggling","persevere, persevering face"
sad but relieved face,😥,Smileys & People,face-neutral,"disappointed, face, relieved, sad but relieved face, whew, phew, sweat, nervous","disappointed relieved, sad but relieved face"
face with open mouth,😮,Smileys & People,face-neutral,"face, face with open mouth, mouth, open, sympathy, surprise, impressed, wow","open mouth, face with open mouth"
zipper-mouth face,🤐,Smileys & People,face-neutral,"face, mouth, zipper, zipper-mouth face, silence, hush",zipper mouth face
hushed face,😯,Smileys & People,face-neutral,"face, hushed, stunned, surprised, silence, speechless","hushed, hushed face"
sleepy face,😪,Smileys & People,face-neutral,"face, sleep, sleepy face, tired","sleepy, sleepy face"
tired face,😫,Smileys & People,face-neutral,"face, tired, upset, whine",tired face
sleeping face,😴,Smileys & People,face-neutral,"face, sleep, sleeping face, zzz, zzz","sleeping, sleeping face"
relieved face,😌,Smileys & People,face-neutral,"face, relieved, whew","relieved, relieved face"
face with tongue,😛,Smileys & People,face-neutral,"face, face with tongue, tongue","stuck out tongue, face with tongue"
winking face with tongue,😜,Smileys & People,face-neutral,"eye, face, joke, tongue, wink, winking face with tongue, prank, silly","stuck out tongue winking eye, winking face with tongue"
squinting face with tongue,😝,Smileys & People,face-neutral,"eye, face, horrible, squinting face with tongue, taste, tongue, prank","stuck out tongue closed eyes, squinting face with tongue"
drooling face,🤤,Smileys & People,face-neutral,"drooling, face",drooling face
unamused face,😒,Smileys & People,face-neutral,"face, unamused, unhappy, meh","unamused, unamused face"
downcast face with sweat,😓,Smileys & People,face-neutral,"cold, downcast face with sweat, face, sweat","sweat, downcast face with sweat"
pensive face,😔,Smileys & People,face-neutral,"dejected, face, pensive","pensive, pensive face"
confused face,😕,Smileys & People,face-neutral,"confused, face","confused, confused face"
upside-down face,🙃,Smileys & People,face-neutral,"face, upside-down",upside down face
money-mouth face,🤑,Smileys & People,face-neutral,"face, money, money-mouth face, mouth, rich",money mouth face
astonished face,😲,Smileys & People,face-neutral,"astonished, face, shocked, totally, amazed, gasp","astonished, astonished face"
frowning face,☹️,Smileys & People,face-negative,,frowning face
frowning face,☹,Smileys & People,face-negative,"face, frown, frowning face",
slightly frowning face,🙁,Smileys & People,face-negative,"face, frown, slightly frowning face",slightly frowning face
confounded face,😖,Smileys & People,face-negative,"confounded, face","confounded, confounded face"
disappointed face,😞,Smileys & People,face-negative,"disappointed, face, sad","disappointed, disappointed face"
worried face,😟,Smileys & People,face-negative,"face, worried, nervous","worried, worried face"
face with steam from nose,😤,Smileys & People,face-negative,"face, face with steam from nose, triumph, won, smug","triumph, face with steam from nose"
crying face,😢,Smileys & People,face-negative,"cry, crying face, face, sad, tear, sad","cry, crying face"
loudly crying face,😭,Smileys & People,face-negative,"cry, face, loudly crying face, sad, sob, tear, sad, cry, bawling","sob, loudly crying face"
frowning face with open mouth,😦,Smileys & People,face-negative,"face, frown, frowning face with open mouth, mouth, open","frowning, frowning face with open mouth"
anguished face,😧,Smileys & People,face-negative,"anguished, face, stunned","anguished, anguished face"
fearful face,😨,Smileys & People,face-negative,"face, fear, fearful, scared, scared, shocked, oops","fearful, fearful face"
weary face,😩,Smileys & People,face-negative,"face, tired, weary, tired","weary, weary face"
exploding head,🤯,Smileys & People,face-negative,"exploding head, shocked",exploding head
grimacing face,😬,Smileys & People,face-negative,"face, grimace, grimacing face","grimacing, grimacing face"
anxious face with sweat,😰,Smileys & People,face-negative,"anxious face with sweat, blue, cold, face, mouth, open, rushed, sweat, nervous","cold sweat, anxious face with sweat"
face screaming in fear,😱,Smileys & People,face-negative,"face, face screaming in fear, fear, fearful, munch, scared, scream, horror, shocked","scream, face screaming in fear"
hot face,🥵,Smileys & People,face-negative,"feverish, heat stroke, hot, red-faced, sweating",hot face
cold face,🥶,Smileys & People,face-negative,"blue-faced, cold, freezing, frostbite, icicles",cold face
flushed face,😳,Smileys & People,face-negative,"dazed, face, flushed","flushed, flushed face"
zany face,🤪,Smileys & People,face-negative,"eye, goofy, large, small, zany face","zany face, zany"
dizzy face,😵,Smileys & People,face-negative,"dizzy, face",dizzy face
pouting face,😡,Smileys & People,face-negative,"angry, face, mad, pouting, rage, red, angry","rage, pout, pouting face"
angry face,😠,Smileys & People,face-negative,"angry, face, mad, mad, annoyed","angry, angry face"
face with symbols on mouth,🤬,Smileys & People,face-negative,"face with symbols on mouth, swearing, cursing","face with symbols on mouth, symbols over mouth"
